@relation 'train_best-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute '0.08 pixel_778+0.08 pixel_576+0.079pixel_746+0.079pixel_517+0.078pixel_747...' numeric
@attribute -0.092pixel_15-0.087pixel_22-0.086pixel_11-0.085pixel_65-0.085pixel_184... numeric
@attribute -0.137pixel_802-0.136pixel_834-0.134pixel_770-0.133pixel_866-0.126pixel_898... numeric
@attribute 0.139pixel_63+0.139pixel_31+0.138pixel_30+0.136pixel_29+0.135pixel_32... numeric
@attribute -0.17pixel_740-0.166pixel_324-0.164pixel_708-0.162pixel_292-0.16pixel_227... numeric
@attribute '-0.191pixel_402-0.188pixel_626-0.18pixel_594+0.166pixel_932+0.16 pixel_997...' numeric
@attribute -0.163pixel_776-0.16pixel_808-0.149pixel_69-0.147pixel_840-0.142pixel_809... numeric
@attribute -0.152pixel_263+0.137pixel_1023+0.128pixel_990+0.127pixel_1022-0.116pixel_66... numeric
@attribute -0.138pixel_314-0.132pixel_200+0.132pixel_678+0.122pixel_773+0.122pixel_805... numeric
@attribute -0.176pixel_166-0.173pixel_198-0.156pixel_230-0.148pixel_995-0.145pixel_134... numeric
@attribute -0.145pixel_434+0.143pixel_730-0.135pixel_998-0.124pixel_323-0.123pixel_290... numeric
@attribute -0.142pixel_132-0.135pixel_100+0.134pixel_998+0.133pixel_965+0.129pixel_997... numeric
@attribute -0.144pixel_593-0.142pixel_233-0.142pixel_809-0.138pixel_433+0.135pixel_996... numeric
@attribute 0.166pixel_69-0.164pixel_625+0.142pixel_5-0.138pixel_658-0.135pixel_904... numeric
@attribute '0.23 pixel_807+0.183pixel_744-0.183pixel_574-0.176pixel_510-0.173pixel_606...' numeric
@attribute -0.234pixel_625+0.218pixel_232+0.187pixel_264+0.186pixel_200-0.185pixel_937... numeric
@attribute '-0.195pixel_391-0.168pixel_105+0.161pixel_76+0.16 pixel_43+0.154pixel_793...' numeric
@attribute 0.164pixel_233-0.159pixel_968+0.156pixel_825-0.142pixel_370+0.138pixel_791... numeric
@attribute '-0.19pixel_594+0.18 pixel_199-0.17pixel_408+0.167pixel_103+0.159pixel_538...' numeric
@attribute 0.194pixel_296+0.189pixel_434+0.163pixel_744+0.148pixel_168+0.147pixel_595... numeric
@attribute -0.249pixel_433-0.157pixel_277+0.152pixel_199+0.149pixel_171-0.148pixel_1024... numeric
@attribute 0.298pixel_807+0.203pixel_433+0.171pixel_264+0.159pixel_329+0.156pixel_265... numeric
@attribute 0.195pixel_625-0.191pixel_433+0.166pixel_402-0.165pixel_807+0.148pixel_403... numeric
@attribute -0.237pixel_1024+0.202pixel_625-0.196pixel_434+0.181pixel_403+0.163pixel_264... numeric
@attribute 0.212pixel_433-0.17pixel_905-0.165pixel_676+0.141pixel_99-0.137pixel_3... numeric
@attribute 0.209pixel_403+0.208pixel_105+0.182pixel_314+0.181pixel_6-0.168pixel_807... numeric
@attribute 0.262pixel_403+0.201pixel_744+0.172pixel_296-0.166pixel_402+0.158pixel_681... numeric
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
{0 1.886838,1 -3.18994,2 0.297718,3 2.418589,4 -1.105233,5 -0.391353,6 0.664219,7 -0.138397,8 0.701966,9 -0.549516,10 0.133733,11 -0.118398,12 0.300083,13 -0.139602,14 -0.522422,15 -0.562957,16 0.221808,17 -0.219391,18 0.53035,19 -0.020841,20 0.10589,21 -0.074914,22 0.162108,23 0.063997,24 0.146148,25 -0.484238,26 -0.141642,27 7}
{0 5.174974,1 2.967955,2 0.011639,3 1.393385,4 -0.670975,5 -2.109828,6 0.971779,7 -0.148516,8 0.219383,9 -0.979763,10 0.361544,11 0.550376,12 -0.769837,13 0.140737,14 -0.305548,15 -0.124397,16 -0.25476,17 -0.070954,18 -0.224061,19 0.298237,20 0.163862,21 -0.166841,22 0.461804,23 0.278443,24 -0.466088,25 0.046537,26 -0.439853,27 9}
{0 6.574613,1 1.551377,2 1.785961,3 1.147857,4 0.512169,5 -1.174089,6 0.871336,7 0.405502,8 0.994159,9 0.549458,10 -0.059311,11 -0.368646,12 0.339939,13 0.097288,14 -0.941719,15 -0.18639,16 0.644521,17 -0.399338,18 -0.432961,19 -0.136173,20 0.601028,21 0.398618,22 -0.670769,23 -0.197654,24 0.069631,25 0.002001,26 -0.515713,27 6}
{0 9.195362,1 -1.111719,2 -1.676042,3 1.429794,4 -0.229431,5 0.277458,6 -0.349782,7 -0.687344,8 -0.450194,9 0.473742,10 -0.389669,11 -0.261495,12 -0.196689,13 0.216601,14 -0.672444,15 -0.045221,16 -0.254063,17 -0.286621,18 -0.159996,19 0.080708,20 -0.032318,21 0.535444,22 -0.427645,23 -0.004025,24 -0.345222,25 -0.380368,26 -0.019738,27 3}
{0 7.21122,1 -1.301503,2 1.980735,3 -0.705387,4 0.06659,5 -0.416862,6 0.063931,7 -1.082557,8 -0.359787,9 -1.410564,10 0.695827,11 -0.286689,12 0.396366,13 -0.145974,14 -0.889247,15 -0.578075,16 0.276466,17 0.018062,18 -0.251617,19 0.417232,20 -0.441262,21 0.170095,22 -0.213676,23 0.032576,24 -0.232152,25 -0.205446,26 -0.328745,27 5}
{0 2.494986,1 -3.288777,2 -1.657939,3 1.514565,4 -0.544579,5 0.117642,6 2.113257,7 -0.359968,8 -0.012005,9 0.000062,10 -0.334475,11 0.490028,12 -0.408867,13 -0.178587,14 -1.221985,15 -0.312935,16 0.433675,17 -0.634563,18 0.330301,19 0.014216,20 -0.790813,21 0.364823,22 -0.189684,23 -0.16208,24 0.303244,25 -0.342939,26 -0.093618,27 9}
{0 9.050062,1 -0.945183,2 2.264088,3 1.502193,4 -0.738845,5 0.979356,6 0.834561,7 0.958989,8 0.150286,9 0.071393,10 0.928327,11 0.087079,12 -0.530437,13 -0.444881,14 -0.49805,15 -0.2435,16 -0.231826,17 -0.143662,18 -0.04055,19 -0.058309,20 0.105269,21 0.352584,22 -0.267353,23 -0.032299,24 -0.008499,25 -0.200283,26 0.01152,27 2}
{0 6.060913,1 -1.220974,2 -0.323796,3 1.06352,4 -1.528931,5 -0.717693,6 0.539359,7 0.527873,8 -0.089185,9 -0.305184,10 -0.021834,11 -0.664872,12 0.172213,13 -0.011836,14 0.342262,15 -0.700871,16 0.012784,17 -0.234293,18 0.319179,19 0.307235,20 -0.235056,21 0.167728,22 -0.229391,23 -0.099171,24 -0.234994,25 -0.116336,26 -0.008057,27 4}
{0 1.313644,1 -1.981926,2 1.060275,3 1.344663,4 -0.283196,5 -0.349584,6 -0.755403,7 -0.108041,8 -0.05318,9 -1.065916,10 0.75807,11 0.311107,12 -0.474488,13 0.839114,14 -0.437983,15 0.035738,16 0.650925,17 -1.034516,18 0.350896,19 0.602989,20 -0.134004,21 0.78362,22 -0.070531,23 0.097164,24 0.118719,25 0.109334,26 -0.097094,27 5}
{0 1.352205,1 -3.038245,2 -0.252217,3 2.793267,4 -1.271717,5 -0.225478,6 0.742802,7 -1.233202,8 0.773096,9 -0.046745,10 -0.016003,11 -0.389645,12 -0.240294,13 0.172638,14 -0.562554,15 -0.269654,16 -0.184762,17 0.07757,18 -0.039537,19 0.397047,20 -0.132843,21 0.516703,22 0.095475,23 -0.45272,24 -0.428216,25 0.099453,26 -0.321192,27 3}
{0 3.687147,1 -2.824778,2 1.609565,3 0.462785,4 0.126617,5 0.118363,6 -0.723446,7 -0.089034,8 -0.552974,9 -1.493881,10 0.834318,11 -0.26239,12 -0.348191,13 0.484394,14 -0.8887,15 -0.139963,16 0.865002,17 -0.86553,18 -0.089024,19 0.421107,20 -0.216949,21 0.239472,22 0.034049,23 -0.252288,24 -0.528094,25 -0.303136,26 -0.077451,27 5}
{0 7.422006,1 1.111279,2 -0.723097,3 0.860517,4 -1.079249,5 -0.97129,6 0.795422,7 0.176727,8 0.132474,9 -0.493729,10 0.092177,11 -0.115589,12 0.522006,13 0.241997,14 -0.080025,15 0.128302,16 0.278077,17 0.148691,18 0.19634,19 -0.125818,20 -0.352769,21 1.110187,22 0.107892,23 0.288566,24 -0.521928,25 -0.289712,26 -0.085721,27 7}
{0 6.009,1 -2.640614,2 0.218957,3 0.721,4 1.167173,5 -0.077456,6 0.929467,7 -0.031091,8 0.906056,9 -0.247472,10 -0.044675,11 -0.058107,12 0.32752,13 -0.132147,14 -0.481332,15 -0.06302,16 -0.137097,17 -0.400735,18 0.069162,19 0.003592,20 0.067361,21 0.128498,22 -0.064624,23 -0.220497,24 -0.274282,25 -0.022089,26 0.10199,27 6}
{0 6.730325,1 -2.363928,2 0.898797,3 1.434871,4 0.136285,5 -1.301574,6 -0.553431,7 0.412111,8 0.381686,9 0.384844,10 -0.494505,11 0.587426,12 0.344647,13 0.45548,14 -0.932175,15 -0.285806,16 0.30828,17 0.46698,18 -0.276619,19 -0.607747,20 -0.241905,21 0.334108,22 0.323462,23 0.046701,24 -0.282963,25 -0.168285,26 -0.386826,27 10}
{0 6.431297,1 -0.801193,2 -2.086608,3 0.517918,4 -1.574065,5 0.33371,6 0.832264,7 0.744308,8 0.24537,9 0.380826,10 0.68464,11 0.082114,12 0.640924,13 0.697706,14 -1.21303,15 -0.38256,16 0.357356,17 -0.383952,18 -0.324051,19 -0.006281,20 0.030453,21 0.171301,22 -0.125058,23 -0.090707,24 -0.545577,25 0.018337,26 0.046136,27 4}
{0 7.17724,1 -1.029228,2 -1.278651,3 1.049824,4 -1.595464,5 -0.404568,6 0.513546,7 0.529315,8 -0.171782,9 0.065741,10 0.202096,11 -0.376972,12 0.209747,13 0.425432,14 -0.299047,15 -0.586214,16 0.131979,17 -0.288582,18 -0.137567,19 0.361666,20 -0.177774,21 0.063281,22 -0.11933,23 -0.155504,24 -0.567008,25 -0.004765,26 -0.009971,27 4}
{0 0.626449,1 -2.261479,2 0.17163,3 2.525264,4 -0.778079,5 -0.420561,6 0.396226,7 -0.877101,8 0.958429,9 0.031181,10 0.766234,11 0.090966,12 -0.247056,13 -0.225427,14 -0.505076,15 -0.344994,16 -0.149896,17 0.240915,18 0.311847,19 0.250057,20 -0.23568,21 0.596753,22 -0.390129,23 -0.211087,24 -0.361141,25 -0.45204,26 -0.14152,27 9}
{0 1.020622,1 -2.107196,2 -0.348379,3 1.990021,4 -0.885381,5 0.089098,6 0.82895,7 -1.210563,8 0.404068,9 0.074365,10 0.166497,11 -0.453005,12 -0.254669,13 -0.050662,14 -0.524467,15 -0.084174,16 0.345308,17 -0.112538,18 -0.396272,19 0.237427,20 0.089991,21 0.395809,22 0.003028,23 -0.219717,24 -0.182151,25 -0.172381,26 -0.151828,27 3}
{0 5.055817,1 2.010281,2 -0.775935,3 1.345017,4 -0.22509,5 -1.319822,6 0.356071,7 0.311198,8 0.645133,9 -0.011817,10 0.029285,11 0.327938,12 -0.259912,13 0.364019,14 -0.471715,15 -0.80639,16 0.491974,17 -0.236039,18 -0.123111,19 0.142022,20 -0.253324,21 0.105378,22 0.001333,23 -0.03593,24 0.071877,25 0.260473,26 0.437974,27 8}
{0 4.2138,1 2.561268,2 -1.849711,3 1.439535,4 -0.782597,5 -0.04976,6 0.166092,7 0.464514,8 0.992887,9 -0.382953,10 0.977876,11 0.66814,12 0.918085,13 0.656371,14 -0.930473,15 0.106281,16 -0.188557,17 -0.050204,18 -0.347905,19 -0.298527,20 0.109365,21 0.562198,22 0.184607,23 -0.609305,24 0.1019,25 -0.066947,26 0.018695,27 7}
{0 6.749837,1 -2.77334,2 -0.459808,3 0.350669,4 -1.169699,5 0.006391,6 0.576233,7 -0.650721,8 0.563705,9 -0.979173,10 -0.507612,11 0.066527,12 -0.215793,13 0.093836,14 -0.585837,15 -0.122709,16 0.212569,17 0.044742,18 0.118662,19 -0.20846,20 0.239826,21 0.210884,22 0.185237,23 -0.354432,24 -0.043265,25 -0.042134,26 -0.066132}
{0 3.256541,1 -4.150905,2 0.48444,3 1.88718,4 -1.126084,5 -0.242887,6 -0.153446,7 0.449457,8 0.427014,9 -0.811129,10 -1.185355,11 -0.352081,12 -0.388282,13 0.69601,14 -1.10718,15 -0.4702,16 -1.278958,17 -0.270598,18 0.329238,19 0.517742,20 -0.338383,21 0.443896,22 0.384623,23 -0.314086,24 0.174402,25 0.249802,26 -0.255781,27 3}
{0 6.258143,1 3.120706,2 2.077377,3 0.854541,4 -1.12547,5 -1.417317,6 1.276395,7 -1.466431,8 -0.678239,9 0.170564,10 0.317016,11 0.330819,12 0.732035,13 0.617291,14 -0.216022,15 -0.50824,16 -0.932104,17 -0.384532,18 -0.059453,19 -0.248646,20 0.233047,21 0.561263,22 0.24001,23 0.466714,24 0.024554,25 -0.209054,26 0.095068,27 5}
{0 5.507801,1 -3.001537,2 -1.495063,3 0.661419,4 -1.575198,5 0.270017,6 0.820227,7 0.673116,8 -0.072938,9 0.16309,10 0.053986,11 -0.180625,12 0.359191,13 0.572012,14 -1.262849,15 -0.574775,16 0.402776,17 -0.399811,18 -0.173027,19 -0.074744,20 0.108311,21 0.053467,22 -0.141379,23 -0.052396,24 -0.517176,25 0.063345,26 -0.007531,27 4}
{0 0.70379,1 -0.818514,2 -0.36409,3 0.974264,4 -0.664334,5 0.081979,6 0.475419,7 -0.720734,8 0.397833,9 0.185416,10 -0.051533,11 -0.346026,12 -0.195787,13 -0.037325,14 -0.367857,15 -0.030564,16 0.194503,17 -0.052525,18 -0.042228,19 0.117856,20 0.009565,21 0.171447,22 0.178575,23 0.030746,24 -0.065212,25 -0.156989,26 -0.016628,27 3}
{0 6.870119,1 -0.617583,2 -0.856076,3 1.00356,4 -1.687241,5 -0.479864,6 0.609203,7 0.506439,8 -0.057898,9 -0.095136,10 0.130718,11 -0.53931,12 0.305392,13 0.118219,14 0.000665,15 -0.568394,16 0.020096,17 -0.320827,18 0.110258,19 0.390635,20 -0.213621,21 0.300898,22 -0.124191,23 -0.040215,24 -0.330785,25 -0.100954,26 0.102153,27 4}
{0 9.678831,1 3.097392,2 -2.653372,3 2.792686,4 0.829876,5 -0.83939,6 0.27961,7 -0.18409,8 -0.296316,9 0.141876,10 1.147695,11 -0.280513,12 -0.38405,13 0.397813,14 -0.511418,15 -0.014834,16 0.576391,17 0.359962,18 0.555053,19 0.284063,20 0.440024,21 0.18141,22 -0.120885,23 -0.186364,24 -0.286661,25 -0.004176,26 0.213442,27 10}
{0 3.931738,1 2.721251,2 -2.244722,3 1.835879,4 0.587396,5 -0.276022,6 -0.034281,7 0.13537,8 0.815915,9 -0.669313,10 0.503201,11 0.025016,12 -0.589976,13 0.31057,14 -0.321808,15 -1.30792,16 -0.11533,17 -0.345494,18 -0.005161,19 -0.327113,20 0.026082,21 0.60041,22 0.227949,23 -0.009692,24 -0.011513,25 0.343402,26 0.284025,27 8}
{0 6.279825,1 -0.238502,2 -1.891101,3 1.183001,4 0.357336,5 -0.820019,6 0.626484,7 0.247072,8 0.192145,9 0.039094,10 -0.19659,11 0.465105,12 -0.504848,13 0.285789,14 -0.084208,15 -0.938227,16 0.325299,17 -0.078219,18 -0.158299,19 0.399816,20 -0.053332,21 0.730397,22 -0.178222,23 -0.291145,24 -0.028405,25 -0.269574,26 0.577004,27 8}
{0 1.103187,1 1.570635,2 -0.112502,3 1.683802,4 -0.138829,5 0.59768,6 0.154005,7 0.340074,8 -0.099179,9 -0.985271,10 -0.902691,11 -0.208745,12 0.095331,13 -0.267395,14 -0.296157,15 -0.071716,16 0.337509,17 -0.115676,18 -0.052989,19 0.035994,20 -0.172403,21 0.02113,22 -0.354917,23 0.140542,24 -0.614076,25 -0.141104,26 -0.01581}
{0 7.528869,1 -0.88932,2 0.805706,3 0.412764,4 -1.369273,5 -0.284566,6 -0.074071,7 -0.336305,8 1.046832,9 -0.42508,10 -0.803991,11 0.385335,12 -0.002734,13 0.188905,14 -0.611643,15 0.090449,16 0.13489,17 -0.145203,18 -0.019169,19 -0.187459,20 -0.079435,21 0.027136,22 0.067259,23 -0.324014,24 -0.056922,25 -0.150205,26 -0.040105}
{0 6.776061,1 -1.828969,2 -1.442776,3 0.766099,4 -1.664125,5 -0.15476,6 0.717549,7 0.645014,8 -0.017531,9 0.140665,10 0.148094,11 -0.397774,12 0.444997,13 0.528447,14 -0.452346,15 -0.643444,16 0.142679,17 -0.245937,18 -0.167076,19 0.52671,20 -0.06736,21 0.140864,22 -0.036359,23 -0.146515,24 -0.489474,25 0.001155,26 0.261774,27 4}
{0 8.431455,1 -2.777014,2 -0.11007,3 0.434066,4 -1.459554,5 -0.088913,6 0.447628,7 -0.540331,8 0.854237,9 -0.8873,10 -0.690853,11 0.191637,12 -0.187468,13 0.133087,14 -0.613792,15 -0.200098,16 0.154115,17 -0.038192,18 0.071702,19 0.053096,20 0.14309,21 0.217908,22 0.244992,23 -0.385493,24 -0.090731,25 -0.132259,26 0.181277}
{0 6.192949,1 -0.376024,2 -0.344423,3 1.18448,4 -1.373704,5 -0.688029,6 0.556631,7 0.448546,8 -0.258115,9 -0.322029,10 0.11895,11 -0.461202,12 0.048791,13 -0.00487,14 0.22642,15 -0.53532,16 -0.043742,17 -0.186227,18 0.331951,19 0.327694,20 -0.321144,21 0.16154,22 -0.167519,23 -0.163151,24 -0.318537,25 -0.097067,26 0.054363,27 4}
{0 5.983949,1 3.607219,2 -1.557487,3 1.839371,4 -1.238761,5 -0.75762,6 0.555703,7 0.274589,8 0.751015,9 -0.410412,10 0.965056,11 0.50891,12 0.532753,13 0.574791,14 -0.59982,15 0.236337,16 -0.169,17 -0.195835,18 -0.334229,19 -0.365186,20 -0.189165,21 0.649495,22 0.115077,23 -0.442883,24 -0.285461,25 -0.082529,26 -0.272563,27 7}
{0 3.159467,1 -2.081046,2 -1.815316,3 1.540715,4 0.075731,5 0.47693,6 1.552156,7 -0.121319,8 -0.16513,9 -0.247499,10 0.232228,11 0.310789,12 -0.076141,13 0.041655,14 -0.379032,15 -0.076918,16 0.728756,17 -0.633712,18 -0.066196,19 -0.171031,20 -0.375228,21 0.059929,22 0.199433,23 0.324943,24 0.184983,25 -0.088438,26 -0.154229,27 10}
{0 9.287624,1 0.242739,2 0.309228,3 1.093189,4 1.681301,5 -0.17438,6 1.49725,7 -0.15958,8 1.346008,9 -0.184537,10 -0.230005,11 -0.43129,12 0.311784,13 0.347717,14 -0.562093,15 -0.013626,16 -0.210546,17 -0.522197,18 0.00962,19 0.345676,20 0.167475,21 0.282589,22 -0.263682,23 0.026317,24 -0.269853,25 0.201991,26 -0.007666,27 6}
{0 6.479151,1 -0.610195,2 1.648872,3 -0.59198,4 0.010474,5 -0.430623,6 0.219072,7 -1.079585,8 -0.354821,9 -1.169718,10 0.562736,11 -0.208258,12 0.495658,13 -0.205784,14 -0.875394,15 -0.47008,16 0.180938,17 0.140954,18 -0.222599,19 0.219846,20 -0.519114,21 0.151661,22 -0.268407,23 -0.10784,24 -0.08894,25 -0.045185,26 -0.097908,27 5}
{0 5.977588,1 -0.371421,2 -2.534277,3 1.25906,4 1.197892,5 -0.253378,6 0.726273,7 0.016411,8 -0.20778,9 0.204223,10 0.280517,11 0.341706,12 -0.508569,13 0.384233,14 -0.212737,15 -1.13443,16 0.061312,17 -0.212754,18 -0.095651,19 0.151681,20 -0.015822,21 0.749034,22 -0.255341,23 -0.033767,24 -0.206141,25 -0.339236,26 0.230729,27 8}
{0 9.32395,1 -3.775124,2 -1.227164,3 1.505501,4 -0.229783,5 0.442156,6 -0.155001,7 -0.434123,8 -0.576559,9 0.174156,10 -0.630923,11 -0.593583,12 -0.278733,13 0.517851,14 -0.759055,15 0.073957,16 -0.515972,17 -0.06497,18 -0.112101,19 0.292862,20 -0.041107,21 0.384471,22 -0.233145,23 -0.279782,24 -0.306927,25 -0.244609,26 -0.025035,27 3}
{0 6.711268,1 -0.284951,2 1.707246,3 0.901486,4 0.842901,5 -0.808256,6 0.836697,7 0.501574,8 0.996451,9 0.38861,10 -0.024646,11 -0.332354,12 0.490086,13 -0.059845,14 -0.726735,15 -0.240151,16 0.21934,17 -0.409964,18 -0.353011,19 0.014036,20 0.53874,21 0.376264,22 -0.470686,23 -0.343751,24 -0.0716,25 -0.101354,26 -0.338826,27 6}
